web-scraper-order,web-scraper-start-url,links,links-href,picture-src,name,old price,new price,discount,model_number,model name,series,color,type,suitable for,cpu brand,cpu name,cpu generation ,ssd capacity,ram capacity ,ram type,gpu processor,os system,usb port,screen size,screen resolution,screen type,speaker,mic,wireless LAN ,bluetooth,weight,webcam,warranty ,rating,rating performance,rating battery ,rating design,rating display 
"1715371161-32","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...4.365 Ratings & 6 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW)₹76,990₹92,99917% offFree deliveryLowest Price in 30 daysUpto ₹31,000 Off on Exchange","https://www.flipkart.com/acer-nitro-v-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-anv15-51-55b9-gaming-laptop/p/itm967689ee35379?pid=COMGWKF2XXHRGYRE&lid=LSTCOMGWKF2XXHRGYRETFCW2Y&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_13&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGWKF2XXHRGYRE.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/d/w/x/anv15-51-gaming-laptop-acer-original-imagtkaqg3qxh6sh.jpeg?q=70&crop=false","Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) ANV15-51- 55B9 Gaming Laptop  (15.6 Inch, Shale Black, 2.1 Kg)","₹92,999","₹76,990","17% off","ANV15-51- 55B9","ANV15-51","Nitro V","Shale Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 4050","Windows 11 Home","2 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB Type-C port with (Thunderbolt 4)","39.62 cm (15.6 Inch)","1920 X 1080 Pixel","Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate. Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly","Yes","Yes","Wi-Fi 6E AX201 Wireless LAN","v5.1","2.1 Kg","UFC with T-Type HD camera, compatible with Windows only, Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic","1 Year International Travelers Warranty (ITW)","4.3","4.6","3.8","4.5","3.9"
"1715371161-33","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...4.365 Ratings & 6 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW)₹76,990₹92,99917% offFree deliveryLowest Price in 30 daysUpto ₹31,000 Off on Exchange","https://www.flipkart.com/acer-nitro-v-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-anv15-51-55b9-gaming-laptop/p/itm967689ee35379?pid=COMGWKF2XXHRGYRE&lid=LSTCOMGWKF2XXHRGYRETFCW2Y&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_13&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGWKF2XXHRGYRE.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/d/w/x/anv15-51-gaming-laptop-acer-original-imagtkaqg3qxh6sh.jpeg?q=70&crop=false","Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) ANV15-51- 55B9 Gaming Laptop  (15.6 Inch, Shale Black, 2.1 Kg)","₹92,999","₹76,990","17% off","ANV15-51- 55B9","ANV15-51","Nitro V","Shale Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 4050","Windows 11 Home","2 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB Type-C port with (Thunderbolt 4)","39.62 cm (15.6 Inch)","1920 X 1080 Pixel","Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate. Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly","Yes","Yes","Wi-Fi 6E AX201 Wireless LAN","v5.1","2.1 Kg","UFC with T-Type HD camera, compatible with Windows only, Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic","1 Year International Travelers Warranty (ITW)","65 Ratings &","4.6","3.8","4.5","3.9"
"1715371161-34","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...4.365 Ratings & 6 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW)₹76,990₹92,99917% offFree deliveryLowest Price in 30 daysUpto ₹31,000 Off on Exchange","https://www.flipkart.com/acer-nitro-v-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-anv15-51-55b9-gaming-laptop/p/itm967689ee35379?pid=COMGWKF2XXHRGYRE&lid=LSTCOMGWKF2XXHRGYRETFCW2Y&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_13&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGWKF2XXHRGYRE.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/d/w/x/anv15-51-gaming-laptop-acer-original-imagtkaqg3qxh6sh.jpeg?q=70&crop=false","Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) ANV15-51- 55B9 Gaming Laptop  (15.6 Inch, Shale Black, 2.1 Kg)","₹92,999","₹76,990","17% off","ANV15-51- 55B9","ANV15-51","Nitro V","Shale Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 4050","Windows 11 Home","2 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB Type-C port with (Thunderbolt 4)","39.62 cm (15.6 Inch)","1920 X 1080 Pixel","Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate. Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly","Yes","Yes","Wi-Fi 6E AX201 Wireless LAN","v5.1","2.1 Kg","UFC with T-Type HD camera, compatible with Windows only, Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic","1 Year International Travelers Warranty (ITW)","6 Reviews","4.6","3.8","4.5","3.9"
"1715371166-35","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...4.21,423 Ratings & 133 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹57,990₹84,99931% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-7-2023-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-a715-76g-gaming-laptop/p/itm33a41661dc40d?pid=COMGP8QVTK3EQDXE&lid=LSTCOMGP8QVTK3EQDXEKW8XW5&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_12&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGP8QVTK3EQDXE.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/h/n/f/-original-imagu3kw4jhnaqgm.jpeg?q=70&crop=false","Acer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","₹84,999","₹57,990","31% off","A715-76G","A715-76G","Aspire 7 (2023)","Charcoal Black","Gaming Laptop","Gaming","Intel","Core i5","12th Gen","512 GB","","DDR4","NVIDIA GeForce RTX 3050","Windows 11 Home","1 x USB 3.2 port with power-off charging, 2 x USB 3.2 port, 1 x USB Type-C port /Thunderbolt 4 port","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","","Yes","","Intel Wireless Wi-Fi 6E AX211","v5.1","2.1 Kg","T-Type HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","4.2","4.1","3.4","3.9","3.9"
"1715371166-36","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...4.21,423 Ratings & 133 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹57,990₹84,99931% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-7-2023-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-a715-76g-gaming-laptop/p/itm33a41661dc40d?pid=COMGP8QVTK3EQDXE&lid=LSTCOMGP8QVTK3EQDXEKW8XW5&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_12&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGP8QVTK3EQDXE.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/h/n/f/-original-imagu3kw4jhnaqgm.jpeg?q=70&crop=false","Acer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","₹84,999","₹57,990","31% off","A715-76G","A715-76G","Aspire 7 (2023)","Charcoal Black","Gaming Laptop","Gaming","Intel","Core i5","12th Gen","512 GB","","DDR4","NVIDIA GeForce RTX 3050","Windows 11 Home","1 x USB 3.2 port with power-off charging, 2 x USB 3.2 port, 1 x USB Type-C port /Thunderbolt 4 port","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","","Yes","","Intel Wireless Wi-Fi 6E AX211","v5.1","2.1 Kg","T-Type HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","1,423 Ratings &","4.1","3.4","3.9","3.9"
"1715371166-37","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...4.21,423 Ratings & 133 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹57,990₹84,99931% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-7-2023-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-a715-76g-gaming-laptop/p/itm33a41661dc40d?pid=COMGP8QVTK3EQDXE&lid=LSTCOMGP8QVTK3EQDXEKW8XW5&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_12&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGP8QVTK3EQDXE.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/h/n/f/-original-imagu3kw4jhnaqgm.jpeg?q=70&crop=false","Acer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","₹84,999","₹57,990","31% off","A715-76G","A715-76G","Aspire 7 (2023)","Charcoal Black","Gaming Laptop","Gaming","Intel","Core i5","12th Gen","512 GB","","DDR4","NVIDIA GeForce RTX 3050","Windows 11 Home","1 x USB 3.2 port with power-off charging, 2 x USB 3.2 port, 1 x USB Type-C port /Thunderbolt 4 port","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","","Yes","","Intel Wireless Wi-Fi 6E AX211","v5.1","2.1 Kg","T-Type HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","133 Reviews","4.1","3.4","3.9","3.9"
"1715371172-38","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graph...4.5346 Ratings & 37 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 Inch) Display1 Year International Travelers Warranty (ITW)₹94,990₹1,29,99926% offFree deliverySave extra with combo offersUpto ₹38,000 Off on Exchange","https://www.flipkart.com/acer-predator-neo-2023-intel-core-i5-13th-gen-13500hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-phn16-71-59xw-phn16-71-553k-phn-16-71-gaming-laptop/p/itm4295aa0d4297e?pid=COMGZS9G8GX9YSRH&lid=LSTCOMGZS9G8GX9YSRHMOZNKD&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_11&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGZS9G8GX9YSRH.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/2/n/y/-original-imagp7wfgcjkqgsn.jpeg?q=70&crop=false","Acer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) PHN16-71-59XW/ PHN16-71-553K/ PHN 16-71 Gaming Laptop  (16 Inch, Obsidian Black, 2.6 Kg)","₹1,29,999","₹94,990","26% off","PHN16-71-59XW/ PHN16-71-553K/ PHN 16-71","PHN16-71","Predator Neo (2023)","Obsidian Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 4050","Windows 11 Home","1 x USB 3.2 Gen 2 Port, 1 x USB 3.2 Gen 2 port with power-off charging, 2 x Two USB Type-C ports(Thunderbolt 4)","40.64 cm (16 Inch)","1920 x 1200 Pixel","WUXGA, IPS (In-Plane Switching) technology, high-brightness (400 nits)","","","Killer Wi-Fi 6 AX 1650i","v5.1","2.6 Kg","Narrow USB HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year International Travelers Warranty (ITW)","4.5","4.7","4.0","4.6","4.6"
"1715371172-39","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graph...4.5346 Ratings & 37 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 Inch) Display1 Year International Travelers Warranty (ITW)₹94,990₹1,29,99926% offFree deliverySave extra with combo offersUpto ₹38,000 Off on Exchange","https://www.flipkart.com/acer-predator-neo-2023-intel-core-i5-13th-gen-13500hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-phn16-71-59xw-phn16-71-553k-phn-16-71-gaming-laptop/p/itm4295aa0d4297e?pid=COMGZS9G8GX9YSRH&lid=LSTCOMGZS9G8GX9YSRHMOZNKD&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_11&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGZS9G8GX9YSRH.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/2/n/y/-original-imagp7wfgcjkqgsn.jpeg?q=70&crop=false","Acer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) PHN16-71-59XW/ PHN16-71-553K/ PHN 16-71 Gaming Laptop  (16 Inch, Obsidian Black, 2.6 Kg)","₹1,29,999","₹94,990","26% off","PHN16-71-59XW/ PHN16-71-553K/ PHN 16-71","PHN16-71","Predator Neo (2023)","Obsidian Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 4050","Windows 11 Home","1 x USB 3.2 Gen 2 Port, 1 x USB 3.2 Gen 2 port with power-off charging, 2 x Two USB Type-C ports(Thunderbolt 4)","40.64 cm (16 Inch)","1920 x 1200 Pixel","WUXGA, IPS (In-Plane Switching) technology, high-brightness (400 nits)","","","Killer Wi-Fi 6 AX 1650i","v5.1","2.6 Kg","Narrow USB HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year International Travelers Warranty (ITW)","346 Ratings &","4.7","4.0","4.6","4.6"
"1715371172-40","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graph...4.5346 Ratings & 37 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 Inch) Display1 Year International Travelers Warranty (ITW)₹94,990₹1,29,99926% offFree deliverySave extra with combo offersUpto ₹38,000 Off on Exchange","https://www.flipkart.com/acer-predator-neo-2023-intel-core-i5-13th-gen-13500hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-phn16-71-59xw-phn16-71-553k-phn-16-71-gaming-laptop/p/itm4295aa0d4297e?pid=COMGZS9G8GX9YSRH&lid=LSTCOMGZS9G8GX9YSRHMOZNKD&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_11&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGZS9G8GX9YSRH.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/2/n/y/-original-imagp7wfgcjkqgsn.jpeg?q=70&crop=false","Acer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) PHN16-71-59XW/ PHN16-71-553K/ PHN 16-71 Gaming Laptop  (16 Inch, Obsidian Black, 2.6 Kg)","₹1,29,999","₹94,990","26% off","PHN16-71-59XW/ PHN16-71-553K/ PHN 16-71","PHN16-71","Predator Neo (2023)","Obsidian Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 4050","Windows 11 Home","1 x USB 3.2 Gen 2 Port, 1 x USB 3.2 Gen 2 port with power-off charging, 2 x Two USB Type-C ports(Thunderbolt 4)","40.64 cm (16 Inch)","1920 x 1200 Pixel","WUXGA, IPS (In-Plane Switching) technology, high-brightness (400 nits)","","","Killer Wi-Fi 6 AX 1650i","v5.1","2.6 Kg","Narrow USB HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year International Travelers Warranty (ITW)","37 Reviews","4.7","4.0","4.6","4.6"
"1715371177-41","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...4.21,417 Ratings & 140 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹55,499₹78,99929% offFree deliverySave extra with combo offersOnly 1 left","https://www.flipkart.com/acer-aspire-7-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-76g-gaming-laptop/p/itmc10163b4c26a8?pid=COMGRHJUCYY63HAA&lid=LSTCOMGRHJUCYY63HAAJBYDVN&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_10&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGRHJUCYY63HAA.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/e/d/w/-original-imagu3kwas7j6g6a.jpeg?q=70&crop=false","Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","₹78,999","₹55,499","29% off","A715-76G","A715-76G","Aspire 7","Charcoal Black","Gaming Laptop","Gaming","Intel","Core i5","12th Gen","512 GB","","DDR4","NVIDIA GeForce RTX 2050","Windows 11 Home","1 x USB 3.2 port with power-off charging, 2 x USB 3.2 port, 1 x USB Type-C port /Thunderbolt 4 port","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","Full HD, display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD","Yes","Yes","Intel Wireless Wi-Fi 6E AX211","v5.1","2.1 Kg","","1 Year Onsite Warranty","4.2","4.4","3.5","4.2","4.1"
"1715371177-42","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...4.21,417 Ratings & 140 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹55,499₹78,99929% offFree deliverySave extra with combo offersOnly 1 left","https://www.flipkart.com/acer-aspire-7-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-76g-gaming-laptop/p/itmc10163b4c26a8?pid=COMGRHJUCYY63HAA&lid=LSTCOMGRHJUCYY63HAAJBYDVN&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_10&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGRHJUCYY63HAA.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/e/d/w/-original-imagu3kwas7j6g6a.jpeg?q=70&crop=false","Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","₹78,999","₹55,499","29% off","A715-76G","A715-76G","Aspire 7","Charcoal Black","Gaming Laptop","Gaming","Intel","Core i5","12th Gen","512 GB","","DDR4","NVIDIA GeForce RTX 2050","Windows 11 Home","1 x USB 3.2 port with power-off charging, 2 x USB 3.2 port, 1 x USB Type-C port /Thunderbolt 4 port","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","Full HD, display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD","Yes","Yes","Intel Wireless Wi-Fi 6E AX211","v5.1","2.1 Kg","","1 Year Onsite Warranty","1,417 Ratings &","4.4","3.5","4.2","4.1"
"1715371177-43","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...4.21,417 Ratings & 140 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹55,499₹78,99929% offFree deliverySave extra with combo offersOnly 1 left","https://www.flipkart.com/acer-aspire-7-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-76g-gaming-laptop/p/itmc10163b4c26a8?pid=COMGRHJUCYY63HAA&lid=LSTCOMGRHJUCYY63HAAJBYDVN&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_10&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGRHJUCYY63HAA.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/e/d/w/-original-imagu3kwas7j6g6a.jpeg?q=70&crop=false","Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","₹78,999","₹55,499","29% off","A715-76G","A715-76G","Aspire 7","Charcoal Black","Gaming Laptop","Gaming","Intel","Core i5","12th Gen","512 GB","","DDR4","NVIDIA GeForce RTX 2050","Windows 11 Home","1 x USB 3.2 port with power-off charging, 2 x USB 3.2 port, 1 x USB Type-C port /Thunderbolt 4 port","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","Full HD, display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD","Yes","Yes","Intel Wireless Wi-Fi 6E AX211","v5.1","2.1 Kg","","1 Year Onsite Warranty","140 Reviews","4.4","3.5","4.2","4.1"
